position,depth
1,54
2,54
3,54
4,54
5,54
6,54
7,56
8,61
9,63
10,64
11,52
12,52
13,43
14,43
15,45
16,43
17,43
18,45
19,45
20,47
21,46
22,47
23,47
24,47
25,46
26,46
27,46
28,46
29,46
30,50
31,52
32,52
33,52
34,54
35,56
36,56
37,56
38,58
39,60
40,60
41,60
42,60
43,60
44,60
45,58
46,59
47,61
48,62
49,63
50,63
51,63
52,63
53,63
54,63
55,63
56,63
57,63
58,62
59,61
60,61
61,61
62,61
63,61
64,61
65,60
66,60
67,59
68,59
69,59
70,61
71,61
72,61
73,61
74,60
75,62
76,62
77,60
78,60
79,60
80,60
81,60
82,60
83,60
84,60
85,60
86,60
87,60
88,60
89,60
90,60
91,60
92,58
93,56
94,56
95,58
96,57
97,57
98,56
99,56
100,56
101,56
102,56
103,56
104,56
105,56
106,56
107,56
108,56
109,56
110,56
111,56
112,54
113,54
114,56
115,56
116,56
117,56
118,58
119,58
120,60
121,60
122,61
123,63
124,63
125,63
126,63
127,63
128,63
129,63
130,63
131,63
132,63
133,63
134,63
135,67
136,67
137,67
138,65
139,65
140,65
141,65
142,65
143,65
144,65
145,65
146,65
147,67
148,65
149,65
150,65
151,66
152,68
153,68
154,70
155,71
156,71
157,73
158,68
159,66
160,64
161,67
162,70
163,72
164,72
165,72
166,72
167,73
168,73
169,75
170,74
171,75
172,73
173,73
174,73
175,73
176,73
177,73
178,75
179,75
180,73
181,71
182,71
183,72
184,72
185,70
186,70
187,70
188,70
189,68
190,68
191,68
192,68
193,68
194,68
195,68
196,67
197,65
198,64
199,63
200,63
201,63
202,63
203,63
204,63
205,63
206,63
207,61
208,61
209,61
210,61
211,61
212,61
213,61
214,61
215,61
216,61
217,61
218,61
219,61
220,59
221,59
222,59
223,59
224,59
225,58
226,56
227,56
228,57
229,57
230,57
231,57
232,57
233,57
234,58
235,58
236,58
237,58
238,58
239,58
240,58
241,58
242,60
243,61
244,61
245,59
246,59
247,61
248,61
249,63
250,63
251,63
252,63
253,63
254,63
255,63
256,65
257,65
258,65
259,65
260,65
261,65
262,67
263,67
264,66
265,72
266,74
267,77
268,79
269,81
270,79
271,82
272,81
273,81
274,81
275,81
276,82
277,84
278,84
279,84
280,84
281,84
282,84
283,84
284,84
285,80
286,80
287,80
288,80
289,80
290,80
291,80
292,80
293,80
294,80
295,80
296,80
297,78
298,78
299,78
300,76
301,75
302,73
303,73
304,71
305,70
306,70
307,66
308,66
309,66
310,66
311,63
312,60
313,58
314,58
315,56
316,56
317,55
318,53
319,51
320,50
321,49
322,49
323,49
324,49
325,49
326,49
327,49
328,47
329,47
330,45
331,45
332,45
333,44
334,42
335,42
336,42
337,42
338,40
339,40
340,40
341,40
342,40
343,42
344,48
345,52
346,52
347,56
348,56
349,58
350,58
351,60
352,60
353,60
354,62
355,62
356,62
357,75
358,78
359,78
360,78
361,80
362,87
363,89
364,89
365,90
366,92
367,92
368,92
369,93
370,93
371,93
372,93
373,94
374,96
375,95
376,95
377,95
378,94
379,94
380,94
381,94
382,94
383,94
384,93
385,93
386,93
387,93
388,93
389,93
390,93
391,93
392,91
393,90
394,90
395,90
396,90
397,88
398,88
399,86
400,86
401,86
402,86
403,86
404,86
405,86
406,84
407,84
408,84
409,84
410,84
411,84
412,82
413,82
414,81
415,75
416,73
417,70
418,66
419,64
420,64
421,62
422,62
423,60
424,60
425,60
426,59
427,57
428,57
429,57
430,57
431,57
432,57
433,57
434,57
435,57
436,57
437,57
438,60
439,60
440,60
441,61
442,61
443,61
444,61
445,63
446,63
447,63
448,69
449,71
450,71
451,79
452,85
453,91
454,91
455,93
456,93
457,97
458,100
459,100
460,102
461,102
462,108
463,108
464,110
465,111
466,111
467,111
468,111
469,111
470,111
471,111
472,111
473,111
474,111
475,111
476,111
477,111
478,111
479,111
480,111
481,111
482,111
483,111
484,111
485,111
486,111
487,111
488,111
489,111
490,111
491,111
492,111
493,109
494,103
495,99
496,99
497,95
498,95
499,93
500,93
501,91
502,91
503,91
504,89
505,89
506,89
507,76
508,73
509,73
510,73
511,71
512,64
513,62
514,62
515,61
516,59
517,59
518,59
519,58
520,58
521,58
522,58
523,57
524,55
525,55
526,55
527,55
528,55
529,55
530,55
531,57
532,57
533,57
534,57
535,57
536,57
537,59
538,59
539,61
540,61
541,61
542,63
543,65
544,67
545,69
546,69
547,77
548,77
549,81
550,89
551,89
552,89
553,91
554,91
555,93
556,93
557,93
558,93
559,93
560,93
561,93
562,95
563,95
564,97
565,97
566,99
567,99
568,99
569,101
570,101
571,100
572,100
573,100
574,100
575,100
576,100
577,100
578,100
579,100
580,100
581,100
582,100
583,100
584,100
585,100
586,100
587,100
588,97
589,97
590,97
591,96
592,96
593,96
594,96
595,94
596,94
597,94
598,88
599,86
600,86
601,78
602,72
603,66
604,66
605,64
606,64
607,60
608,57
609,57
610,55
611,55
612,49
613,49
614,47
615,46
616,46
617,46
618,46
619,46
620,46
621,46
622,47
623,47
624,47
625,47
626,53
627,56
628,56
629,56
630,56
631,56
632,57
633,58
634,59
635,59
636,60
637,61
638,61
639,62
640,67
641,72
642,73
643,73
644,74
645,75
646,76
647,77
648,77
649,77
650,78
651,80
652,80
653,81
654,81
655,81
656,81
657,81
658,81
659,81
660,81
661,81
662,81
663,81
664,81
665,81
666,81
667,81
668,81
669,81
670,81
671,81
672,81
673,81
674,81
675,81
676,81
677,81
678,81
679,81
680,81
681,79
682,79
683,79
684,79
685,79
686,79
687,77
688,77
689,75
690,75
691,75
692,73
693,71
694,69
695,67
696,67
697,60
698,60
699,56
700,48
701,48
702,48
703,46
704,46
705,44
706,44
707,44
708,44
709,44
710,44
711,44
712,42
713,42
714,40
715,40
716,38
717,38
718,38
719,36
720,36
721,38
722,40
723,40
724,40
725,40
726,40
727,41
728,41
729,42
730,43
731,47
732,50
733,51
734,53
735,54
736,54
737,54
738,54
739,54
740,54
741,54
742,56
743,56
744,57
745,57
746,57
747,59
748,61
749,65
750,67
751,67
752,67
753,67
754,68
755,68
756,68
757,68
758,68
759,68
760,68
761,72
762,72
763,74
764,74
765,76
766,76
767,80
768,80
769,82
770,82
771,82
772,81
773,81
774,81
775,87
776,83
777,80
778,80
779,80
780,82
781,82
782,81
783,80
784,79
785,79
786,80
787,79
788,79
789,78
790,73
791,68
792,67
793,67
794,66
795,65
796,66
797,65
798,71
799,71
800,70
801,68
802,68
803,71
804,71
805,73
806,75
807,75
808,75
809,77
810,79
811,79
812,79
813,79
814,79
815,79
816,79
817,79
818,79
819,79
820,79
821,79
822,79
823,79
824,79
825,79
826,79
827,79
828,79
829,79
830,79
831,79
832,79
833,79
834,79
835,79
836,79
837,79
838,79
839,79
840,79
841,81
842,81
843,81
844,83
845,83
846,83
847,82
848,82
849,82
850,82
851,82
852,82
853,88
854,90
855,114
856,114
857,114
858,114
859,114
860,114
861,114
862,114
863,114
864,114
865,114
866,114
867,116
868,116
869,116
870,118
871,116
872,114
873,114
874,114
875,114
876,114
877,113
878,113
879,112
880,111
881,107
882,104
883,103
884,102
885,101
886,101
887,101
888,102
889,102
890,102
891,102
892,100
893,100
894,99
895,99
896,99
897,97
898,95
899,91
900,89
901,89
902,89
903,89
904,88
905,88
906,88
907,88
908,88
909,88
910,88
911,84
912,84
913,82
914,82
915,80
916,80
917,76
918,76
919,74
920,74
921,74
922,74
923,74
924,74
925,69
926,67
927,67
928,67
929,68
930,66
931,67
932,68
933,68
934,68
935,68
936,68
937,68
938,68
939,68
940,68
941,68
942,70
943,70
944,70
945,70
946,68
947,69
948,63
949,63
950,63
951,63
952,63
953,60
954,60
955,58
956,56
957,56
958,56
959,54
960,52
961,52
962,52
963,52
964,52
965,52
966,52
967,52
968,52
969,52
970,53
971,54
972,54
973,54
974,54
975,57
976,59
977,59
978,61
979,63
980,65
981,67
982,67
983,67
984,68
985,76
986,77
987,77
988,77
989,77
990,77
991,75
992,75
993,75
994,74
995,74
996,74
997,74
998,74
999,74
1000,74
1001,74
1002,74
1003,68
1004,66
1005,42
1006,44
1007,44
1008,44
1009,50
1010,50
1011,50
1012,52
1013,54
1014,54
1015,54
1016,54
1017,52
1018,52
1019,52
1020,50
1021,50
1022,50
1023,50
1024,50
1025,50
1026,52
1027,53
1028,55
1029,55
1030,57
1031,58
1032,58
1033,58
1034,57
1035,57
1036,58
1037,59
1038,59
1039,59
1040,60
1041,60
1042,63
1043,63
1044,63
1045,63
1046,63
1047,63
1048,65
1049,65
1050,65
1051,66
1052,66
1053,66
1054,66
1055,66
1056,66
1057,67
1058,67
1059,67
1060,67
1061,67
1062,68
1063,68
1064,68
1065,68
1066,68
1067,68
1068,68
1069,68
1070,69
1071,70
1072,70
1073,71
1074,71
1075,71
1076,71
1077,72
1078,72
1079,72
1080,72
1081,72
1082,71
1083,71
1084,71
1085,71
1086,69
1087,69
1088,69
